4/23/2021 11:20:16 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:20:16 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:20:17 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:20:17 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:20:17 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:20:18 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:20:19 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:20:19 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:20:21 AM /TELEPLOC a x:194 Y:1208 Map:1
4/23/2021 11:21:20 AM Se conecto con ip:168.196.245.137
4/23/2021 11:21:54 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:54 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:55 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:55 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:56 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:56 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:56 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:57 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:57 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:58 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:58 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:21:59 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:22:00 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:22:59 AM /CI: 26 - Pollo - 1
4/23/2021 11:23:00 AM Agarro:1 Objeto:Pollo
4/23/2021 11:23:07 AM /CI: 42 - Vino - 1
4/23/2021 11:23:30 AM Agarro:1 Objeto:Vino
4/23/2021 11:23:34 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:34 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:34 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:35 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:36 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:36 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:36 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:37 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:37 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:38 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:38 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:39 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:40 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:23:41 AM /TELEPLOC a x:196 Y:1211 Map:1
4/23/2021 11:25:22 AM Se conecto con ip:168.196.245.137
4/23/2021 11:26:16 AM Sumoneo a Antogne en mapa 1
4/23/2021 11:26:24 AM /CI: 42 - Vino - 1
4/23/2021 11:26:26 AM Agarro:1 Objeto:Vino
4/23/2021 11:27:10 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:11 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:14 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:15 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:15 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:17 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:17 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:18 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:19 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:19 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:20 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:20 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:21 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:26 AM /TELEPLOC a x:230 Y:1269 Map:1
4/23/2021 11:27:27 AM /TELEPLOC a x:230 Y:1269 Map:1
